x;y
Детали фасонные коньковые к листам хризотилцементным волнистым;Детали фасонные для листов хризотилцементных с волнистым профилем
Доска электротехническая дугостойкая АЦЭИД толщина мм;Доска электротехническая ACEID
Листы хризотилцементные волнистые профиль волновые толщина мм;Листы хризотилцементные с волнистым профилем
Листы хризотилцементные плоские непрессованные толщина мм;Листы хризотилцементные плоские непрессованные
Листы хризотилцементные плоские прессованные толщина мм;Листы хризотилцементные плоские прессованные
Плиты хризотилцементные плоские прессованные фасадные с гладкой поверхностью и лакокрасочным защитно декоративным покрытием толщина мм;Плиты хризотилцементные плоские прессованные фасадные с лакокрасочным покрытием
Шнур асбестовый общего назначения ШАОН диаметр мм;Асбестовые шнуры для обуви
Асботекстолит листовой марки А Б Г толщина мм;Асботекстолит листовой марки А Б Г
Бумага асбестовая гидроизоляционная марка БГ М БГ К толщина мм;Асбестовая бумага гидроизоляционная марки БГ М, БГ К
Картон асбестовый общего назначения марка КАОН толщина мм;Асбестовый картон
Набивки пропитанные асбестовые сквозного плетения квадратные марка АП размер мм;Асбестовые пропитанные набивки квадратные
Смесь хризотилцементная сухая марка М;Хризотилцементная смесь сухая марки М
Добавка фибра из полипропиленового волокна армирующая для бетонов;Добавка армирующая из полипропиленового волокна для бетона
Прокладки из паронита ПМБ толщина мм диаметр мм;Паронитовые прокладки ПМБ
Ткань асбестовая с хлопковым волокном АТ толщина мм;Асбестовая ткань с хлопковым волокном
Хризотил асбест хризотиловый группы марки;Хризотил асбест хризотиловый
Битум нефтяной дорожный МГ МГ МГ СГ СГ СГ;Битумный материал для дорожного покрытия
Битум разжиженный РБ;Разжиженный битумный материал
Битум нефтяной модифицированный кровельный БНМ;Модифицированный нефтяный битумный кровельный материал
Битум нефтяной строительный изоляционный БНИ IV БНИ IV БНИ V;Нефтяный строительный битумный изоляционный материал
Битум нефтяной строительный БН;Нефтяный строительный битумный материал
Вяжущее полимерно битумное дорожное ПБВ;Полимерно битумное вяжущее дорожное
Грунтовка битумная под полимерное или резиновое покрытие;Грунтовка битумная для полимерного или резинового покрытия
Мастика битумная кровельная горячая МБКГ МБКГ МБКГ МБКГ;Горячая кровельная битумная мастика
Мастика двухкомпонентная битумно полимерная с содержанием хлорсульфированного полиэтилена для устройства и гидроизоляции кровельных покрытий расход кг м при толщине слоя мм;Двухкомпонентная битумно-полимерная мастика с хлорсульфированным полиэтиленом для кровельных покрытий
Праймер битумно-полимерный для подготовки грунтования изолируемой поверхности перед нанесением битумно-полимерных гидроизоляционных материалов;Праймеры для подготовки изолируемых поверхностей перед нанесением битумно-полимерных гидроизоляционных материалов
Эмульгатор для катионовых битумных эмульсий быстрого и среднего распада;Эмульгаторы катионовых битумных эмульсий
