record_name,ref_name
DIN -рейка оцинкованная ТН35-7.5 100 см (Chint),"DIN-рейки металлические, оцинкованные, размеры 7,5х35х260 мм"
Анкерный элемент ТехноНиколь 8*45мм,"Анкер грунтовый забивной самораскрывающийся, оцинкованный, предельная несущая нагрузка не менее 45 кН"
Анкер забивной М10 DRM 12x40 сталь,"Анкер забивной латунный, диаметр внутренней резьбы М10, диаметр 12 мм, длина 40 мм"
Анкер забивной М10/12x40,"Анкер забивной латунный, диаметр внутренней резьбы М10, диаметр 12 мм, длина 40 мм"
Анкер забивной М8 LAZ латунь,"Анкер забивной латунный, диаметр внутренней резьбы М8, диаметр 10 мм, длина 28-30 мм"
Анкер забивной М10,Анкер забивной М10
Анкер забивной М8,Анкер забивной М8
"Анкерный стержень 15,0мм без покрытия 1,00м","Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 210 кН, длина 3000 мм"
"Анкерный стержень 15,0мм без покрытия, неоцинкованный 2,00м","Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 210 кН, длина 3000 мм"
"Анкерный стержень 15,0мм без покрытия, неоцинкованный 3,00м","Анкер металлический канатный, диаметр грузонесущего стержня 15,2 мм, предельная несущая нагрузка не менее 210 кН, длина 3000 мм"
Шпилька М8х1000 (DIN975) оцинкованная (поштучно),"Анкер трубчатый стальной оцинкованный для слабых грунтов с винтовым наконечником, диаметр 76 мм, толщина стенки 3,5-5 мм, длина 1000 мм"
Химический Анкер на основе полиэстра 300 мл Akfix C900 (12шт в упк),Анкер химический двухкомпонентный на основе винилэстеровой смолы
Анкер-шпилька HST3 M16x145 45/25,"Анкер-шпильки стальные оцинкованные фрикционные расклинивающиеся для бетона без трещин, наружная резьба М12, длина 145 мм"
Анкер-шпилька HILTI HSA M8*85 35/25,"Анкер-шпильки стальные оцинкованные фрикционные расклинивающиеся для бетона без трещин, наружная резьба М8, длина 85 мм"
2105859 Анкер-шпилька HST3 М16х145 45/25,"Анкер-шпильки стальные оцинкованные фрикционные распорные для бетона с трещинами, сейсмостойкость C1, C2, наружная резьба М16, длина 145 мм"
Анкер-шпилька HST3 М16х145 45/25(срок постаки 4-6 недель),"Анкер-шпильки стальные оцинкованные фрикционные распорные для бетона с трещинами, сейсмостойкость C1, C2, наружная резьба М16, длина 145 мм"
Анкер для бетона с шестигранной головкой с воротником R-LX-14X080-HF-ZP гальваническое покрытие,"Анкер-шурупы стальные оцинкованные с шестигранной головкой для бетона с трещинами, сейсмостойкость C1, C2, диаметр 14 мм, длина 75 мм"
